name	ghidra_addr	body_bytes	callees	callers
GetImage2DHeight	00088db4	24	0	3
DrawImage2D	00088dd0	462	7	1
GetWidth	00088fb4	8	0	1
GetHeight	00088fba	8	0	1
DrawImage2D	00088fc0	686	9	3
FillRectangle	00089288	200	4	1
DrawRectangle	00089368	336	8	1
DrawLine	000894d8	408	8	1
DrawMesh	0008968c	22	0	1
DrawTransform	000896a0	550	11	1
DrawTransform	000898e4	206	6	1
TextureCreateGlobal	000899b8	118	6	1
TextureCreate	00089a34	150	4	1
FindResource	00089ad0	48	0	1
TextureCreate	00089b00	18	1	1
FontCreate	00089b14	220	6	1
ArrayAdd<AbyssEngine::ImageFont*>	00089bf4	36	1	1
FontSetSpacing	00089c18	26	0	1
FontGetSpacing	00089c30	26	0	1
FontSetYOffset	00089c48	26	0	0
FontGetYOffset	00089c60	26	0	0
Image2DCreate	00089c78	186	6	14
ArrayAdd<AbyssEngine::Image2D*>	00089d38	36	1	1
MeshCreate	00089d5c	216	8	1
MaterialCreate	00089e4c	206	7	1
MeshCreate	00089f2c	132	4	1
MeshCreate	00089fb4	84	3	1
MeshSetTriangleCount	0008a00c	30	0	0
MeshSetPoint	0008a02a	58	0	4
MeshTranslatePoint	0008a064	82	0	1
MeshSetUv	0008a0b8	64	0	4
MeshSetColor	0008a100	126	0	2
MeshSetColor	0008a188	62	0	1
MeshSetTriangle	0008a1c6	60	0	2
MeshSetNormal	0008a202	48	1	1
MeshSetTangent	0008a232	48	1	0
MeshSetBiTangent	0008a262	48	1	0
MeshConvertToVBO	0008a292	20	0	1
MeshChangeShaderAnimValue	0008a2a4	48	0	2
MeshChangeShaderAnimValue	0008a2d2	80	2	1
MeshChangeMaterialIntern	0008a322	80	2	1
MeshChangeMaterialIntern	0008a372	16	0	1
MeshCloneMaterial	0008a380	74	3	1
Material	0008a3d8	212	6	1
ArrayAdd<AbyssEngine::Material*>	0008a4ec	36	1	1
MeshChangeResourceMaterial	0008a510	48	1	1
