class	method	ghidra_addr	body	callees
Array<AbstractGun*>	~Array	000bdea6	22	1
(free)	ArrayReleaseClasses<KIPlayer*>	000bdebc	74	1
Array<KIPlayer*>	~Array	000bdf06	22	1
(free)	ArrayReleaseClasses<RadioMessage*>	000bdf1c	80	3
Array<RadioMessage*>	~Array	000bdf6c	22	1
Level	setInitStreamOut	000bdf84	12	0
Level	init	000bdf94	1480	46
Level	createSpace	000be5b8	2458	54
Level	createPlayer	000bf1bc	12	1
Level	createAsteroids	000bf6f8	1450	27
Level	createGasClouds	000bfd2c	602	20
Level	createMission	000bffd8	16166	118
Level	createScene	000c42ec	2092	39
Level	createCampaignMission	000c4bb8	27540	111
Level	createStaticObjects	000cbfa4	492	21
Level	createSentryGuns	000cc1f4	208	12
Level	createFighterTurrets	000cc2dc	250	7
Level	createWingmen	000cc3ec	604	25
Level	assignGuns	000cc680	2814	36
Level	connectPlayers	000cd204	1124	20
Level	enableParticleEffects	000cd68c	42	2
Level	setPlayerEngineColor	000cd6b8	54	0
Level	initParticleSystems	000cd6f8	1702	27
Level	getStarSystem	000cde48	6	0
Array<KIPlayer*>	Array	000cde4e	28	1
(free)	ArraySetLength<KIPlayer*>	000cde6a	52	2
Level	getGasClouds	000cde9e	6	0
Level	createGun	000cdea4	1768	16
Array<AbstractGun*>	Array	000ce680	28	1
(free)	ArrayAdd<AbstractGun*>	000ce69c	36	1
Level	createStaticObject	000ce6c0	6414	43
(free)	ArrayAdd<KIPlayer*>	000d01f0	36	1
Level	createShip	000d0214	2190	20
Level	createRoute	000d0ce0	210	5
Level	setPlayerRoute	000d0dc8	28	2
Level	createRadioMessages	000d0de4	11188	5
(free)	ArraySetLength<AbstractGun*>	000d3dde	52	2
(free)	ArraySetLength<Player*>	000d3e12	52	2
Level	getBoundingVolume	000d3e48	496	14
Array<RadioMessage*>	Array	000d4060	28	1
(free)	ArraySetLength<RadioMessage*>	000d407c	52	2
Level	getPlayer	000d40b0	6	0
Level	getEnemies	000d40b6	6	0
Level	getLandmarks	000d40bc	6	0
Level	getAsteroids	000d40c2	6	0
Level	getAsteroidWaypoint	000d40c8	6	0
Level	getPlayerRoute	000d40ce	6	0
Level	getEnemyRoute	000d40d4	6	0
Level	getFriendRoute	000d40da	6	0
Level	flashScreen	000d40e0	308	1
Level	enemyDied	000d4230	488	8
Level	junkDied	000d4428	30	0
Level	applyKills	000d444c	38	2
Level	friendDied	000d4478	12	0
Level	wingmanDied	000d4484	104	2
ArrayRemove<AbyssEngine	ArrayRemove<AbyssEngine::String*>	000d44ec	68	1
Level	asteroidDied	000d4530	12	0
Level	getAsteroidsLeft	000d453c	6	0
Level	getEnemiesLeft	000d4542	6	0
Level	getFriendsLeft	000d4548	6	0
Level	getMessages	000d454e	6	0
Level	getTimeLimit	000d4554	6	0
Level	collide	000d455a	20	0
Level	isInAsteroidCenterRange	000d456e	14	0
Level	collideStream	000d457c	24	0
Level	collideStation	000d4594	80	1
Level	renderBG	000d45e8	1260	35
Level	render	000d4b10	402	1
Level	render2D	000d4ca0	10	0
Level	renderPause	000d4ca8	214	0
Level	updateMissionOrbit	000d4d80	1124	8
Level	updateOrbit	000d5208	940	13
Level	alarmAllFriends	000d55d0	152	6
Level	createRadioMessage	000d566c	1420	11
Level	updateAlienAttackers	000d5ca4	642	11
Level	update	000d5f58	726	24
Level	checkObjective	000d6250	12	0
Level	stealFriendCargo	000d625c	8	0
Level	friendCargoWasStolen	000d6264	6	0
Level	removeObjectives	000d626a	8	0
Level	getPlayerGuns	000d6272	6	0
Level	getEnemyGuns	000d6278	6	0
Level	checkGameOver	000d627e	14	0
(free)	ArrayAdd<RadioMessage*>	000d628a	36	1
Level	pirateStationAction	000d62b0	106	2
Level	uncoverWanted	000d6320	100	4
Level	attackWanted	000d6388	104	4
Level	almostKillWanted	000d63f4	232	15
Level	killWanted	000d64f0	22	0
Level	friendTurnedEnemy	000d6506	24	0
